searge,name,side,desc,class
field_100013_f,noCounter,2,"True if potion effect duration is at maximum, false otherwise.",net/minecraft/potion/EffectInstance
field_104057_T,forceGameType,2,,net/minecraft/server/MinecraftServer
field_110150_bn,lastHurtMob,2,,net/minecraft/entity/LivingEntity
field_110151_bq,absorptionAmount,2,,net/minecraft/entity/LivingEntity
field_110153_bc,lastHurt,2,Damage taken in the last hit. Mobs are resistant to damage less than this for a short time after taking damage.,net/minecraft/entity/LivingEntity
field_110154_aX,run,2,,net/minecraft/entity/LivingEntity
field_110155_d,attributes,2,,net/minecraft/entity/LivingEntity
field_110156_b,SPEED_MODIFIER_SPRINTING_UUID,2,,net/minecraft/entity/LivingEntity
field_110157_c,SPEED_MODIFIER_SPRINTING,2,,net/minecraft/entity/LivingEntity
field_110158_av,swingTime,2,,net/minecraft/entity/LivingEntity
field_110168_bw,leashHolder,2,,net/minecraft/entity/MobEntity
field_110170_bx,leashInfoTag,2,,net/minecraft/entity/MobEntity
field_110184_bp,SPEED_MODIFIER_DRINKING_UUID,2,,net/minecraft/entity/monster/WitchEntity
field_110185_bq,SPEED_MODIFIER_DRINKING,2,,net/minecraft/entity/monster/WitchEntity
field_110187_bq,SPEED_MODIFIER_BABY_UUID,2,,net/minecraft/entity/monster/ZombieEntity
field_110188_br,SPEED_MODIFIER_BABY,2,,net/minecraft/entity/monster/ZombieEntity
field_110192_bp,SPEED_MODIFIER_ATTACKING_UUID,2,,net/minecraft/entity/monster/EndermanEntity
field_110193_bq,SPEED_MODIFIER_ATTACKING,2,,net/minecraft/entity/monster/EndermanEntity
field_110274_bs,temper,2,"The higher this value, the more likely the horse is to be tamed next time a player rides it.",net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110275_br,isJumping,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110276_bu,PARENT_HORSE_SELECTOR,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110277_bt,playerJumpPendingScale,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110278_bp,tailCounter,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110279_bq,sprintCounter,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110281_bL,standAnim,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110282_bM,standAnimO,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
